  AUTODYN log file for worker process #           2
 Degenerate element ERODED at cycle       17400          23901
 Element ERODED at cycle       17400          23901
 Degenerate element ERODED at cycle       17469          14665
 Element ERODED at cycle       17469          14665
 Degenerate element ERODED at cycle       17484          28529
 Element ERODED at cycle       17484          28529
 Degenerate element ERODED at cycle       17563          10075
 Element ERODED at cycle       17563          10075
 Degenerate element ERODED at cycle       17591          19298
 Element ERODED at cycle       17591          19298
 Degenerate element ERODED at cycle       17600          33141
 Element ERODED at cycle       17600          33141
 Degenerate element ERODED at cycle       17881          19296
 Element ERODED at cycle       17881          19296
 Degenerate element ERODED at cycle       18012          10138
 Element ERODED at cycle       18012          10138
 Degenerate element ERODED at cycle       18029          33140
 Element ERODED at cycle       18029          33140
 Degenerate element ERODED at cycle       18057          33204
 Element ERODED at cycle       18057          33204
 Degenerate element ERODED at cycle       18125          19295
 Element ERODED at cycle       18125          19295
 Degenerate element ERODED at cycle       18162          19361
 Element ERODED at cycle       18162          19361
 Degenerate element ERODED at cycle       18178          10073
 Element ERODED at cycle       18178          10073
 Degenerate element ERODED at cycle       18216          14728
 Element ERODED at cycle       18216          14728
 Degenerate element ERODED at cycle       18275          10072
 Element ERODED at cycle       18275          10072
 Degenerate element ERODED at cycle       18368          28495
 Element ERODED at cycle       18368          28495
 Degenerate element ERODED at cycle       18369          33137
 Element ERODED at cycle       18369          33137
 Degenerate element ERODED at cycle       18530          19360
 Element ERODED at cycle       18530          19360
 Degenerate element ERODED at cycle       18568           5388
 Element ERODED at cycle       18568           5388
 Degenerate element ERODED at cycle       18682          10013
 Element ERODED at cycle       18682          10013
 Degenerate element ERODED at cycle       18735          14627
 Element ERODED at cycle       18735          14627
 Degenerate element ERODED at cycle       18749          28420
 Element ERODED at cycle       18749          28420
 Degenerate element ERODED at cycle       18778          33103
 Element ERODED at cycle       18778          33103
 Degenerate element ERODED at cycle       18786          33080
 Element ERODED at cycle       18786          33080
 Degenerate element ERODED at cycle       18826          10037
 Element ERODED at cycle       18826          10037
 Degenerate element ERODED at cycle       18840          14662
 Element ERODED at cycle       18840          14662
 Degenerate element ERODED at cycle       18924           5448
 Element ERODED at cycle       18924           5448
 Degenerate element ERODED at cycle       18948          28531
 Element ERODED at cycle       18948          28531
 Degenerate element ERODED at cycle       18963           5319
 Element ERODED at cycle       18963           5319
 Degenerate element ERODED at cycle       18976           5375
 Element ERODED at cycle       18976           5375
 Degenerate element ERODED at cycle       18986          23769
 Element ERODED at cycle       18986          23769
 Degenerate element ERODED at cycle       19009           5323
 Element ERODED at cycle       19009           5323
 Degenerate element ERODED at cycle       19029          23772
 Element ERODED at cycle       19029          23772
 Degenerate element ERODED at cycle       19050          10137
 Element ERODED at cycle       19050          10137
 Degenerate element ERODED at cycle       19091          33196
 Element ERODED at cycle       19091          33196
 Degenerate element ERODED at cycle       19130          28417
 Element ERODED at cycle       19130          28417
 Degenerate element ERODED at cycle       19158          23903
 Element ERODED at cycle       19158          23903
 Degenerate element ERODED at cycle       19161          10010
 Element ERODED at cycle       19161          10010
 Degenerate element ERODED at cycle       19222          10130
 Element ERODED at cycle       19222          10130
 Degenerate element ERODED at cycle       19352           9750
 Element ERODED at cycle       19352           9750
 Degenerate element ERODED at cycle       19390          10011
 Element ERODED at cycle       19390          10011
 Degenerate element ERODED at cycle       19458           5371
 Element ERODED at cycle       19458           5371
 Degenerate element ERODED at cycle       19478          10033
 Element ERODED at cycle       19478          10033
 Degenerate element ERODED at cycle       19597          10070
 Element ERODED at cycle       19597          10070
 Degenerate element ERODED at cycle       19674          33077
 Element ERODED at cycle       19674          33077
 Degenerate element ERODED at cycle       19742          32820
 Element ERODED at cycle       19742          32820
 Degenerate element ERODED at cycle       19922          19293
 Element ERODED at cycle       19922          19293
 Degenerate element ERODED at cycle       19944          16697
 Element ERODED at cycle       19944          16697
 Degenerate element ERODED at cycle       19960          33136
 Element ERODED at cycle       19960          33136
 Degenerate element ERODED at cycle       19963          33203
 Element ERODED at cycle       19963          33203
 Degenerate element ERODED at cycle       20098          19202
 Element ERODED at cycle       20098          19202
