  AUTODYN log file for worker process #           2
 Degenerate element ERODED at cycle        1486          10041
 Element ERODED at cycle        1486          10041
 Degenerate element ERODED at cycle        1507          23859
 Element ERODED at cycle        1507          23859
 Degenerate element ERODED at cycle        1524           5383
 Element ERODED at cycle        1524           5383
 Degenerate element ERODED at cycle        1538          28464
 Element ERODED at cycle        1538          28464
 Degenerate element ERODED at cycle        1556          23846
 Element ERODED at cycle        1556          23846
 Degenerate element ERODED at cycle        1579          14728
 Element ERODED at cycle        1579          14728
 Degenerate element ERODED at cycle        1582          33203
 Element ERODED at cycle        1582          33203
 Degenerate element ERODED at cycle        1582          10137
 Element ERODED at cycle        1582          10137
 Degenerate element ERODED at cycle        1583          19360
 Element ERODED at cycle        1583          19360
 Degenerate element ERODED at cycle        1584           5393
 Element ERODED at cycle        1584           5393
 Degenerate element ERODED at cycle        1585          14722
 Element ERODED at cycle        1585          14722
 Degenerate element ERODED at cycle        1585          14725
 Element ERODED at cycle        1585          14725
 Degenerate element ERODED at cycle        1586          14721
 Element ERODED at cycle        1586          14721
 Degenerate element ERODED at cycle        1587          14726
 Element ERODED at cycle        1587          14726
 Degenerate element ERODED at cycle        1588          33195
 Element ERODED at cycle        1588          33195
 Degenerate element ERODED at cycle        1588          10129
 Element ERODED at cycle        1588          10129
 Degenerate element ERODED at cycle        1588          14723
 Element ERODED at cycle        1588          14723
 Degenerate element ERODED at cycle        1589          19352
 Element ERODED at cycle        1589          19352
 Degenerate element ERODED at cycle        1589          19353
 Element ERODED at cycle        1589          19353
 Degenerate element ERODED at cycle        1589          19359
 Element ERODED at cycle        1589          19359
 Degenerate element ERODED at cycle        1589          33196
 Element ERODED at cycle        1589          33196
 Degenerate element ERODED at cycle        1589          33202
 Element ERODED at cycle        1589          33202
 Degenerate element ERODED at cycle        1589          10130
 Element ERODED at cycle        1589          10130
 Degenerate element ERODED at cycle        1589          10136
 Element ERODED at cycle        1589          10136
 Degenerate element ERODED at cycle        1590          19354
 Element ERODED at cycle        1590          19354
 Degenerate element ERODED at cycle        1590          19355
 Element ERODED at cycle        1590          19355
 Degenerate element ERODED at cycle        1590          19356
 Element ERODED at cycle        1590          19356
 Degenerate element ERODED at cycle        1590          19357
 Element ERODED at cycle        1590          19357
 Degenerate element ERODED at cycle        1590          19358
 Element ERODED at cycle        1590          19358
 Degenerate element ERODED at cycle        1590          33197
 Element ERODED at cycle        1590          33197
 Degenerate element ERODED at cycle        1590          33198
 Element ERODED at cycle        1590          33198
 Degenerate element ERODED at cycle        1590          33199
 Element ERODED at cycle        1590          33199
 Degenerate element ERODED at cycle        1590          33200
 Element ERODED at cycle        1590          33200
 Degenerate element ERODED at cycle        1590          33201
